relationType,argSrc,argTrg
neither,The bachelor thesis reflects both the content and the methods of the topics covered during a degree programme.,But one can make occasional mistakes in the thesis.
neither,The bachelor thesis reflects both the content and the methods of the topics covered during a degree programme.,"If this carries more weight, many good individual assignments done during the course of study may be obscured."
neither,The bachelor thesis reflects both the content and the methods of the topics covered during a degree programme.,A good grade for the thesis also significantly depends on the supervision of a dedicated teacher.
attack,The bachelor thesis reflects both the content and the methods of the topics covered during a degree programme.,Due to the many random factors the bachelor thesis should not play a bigger role.
neither,But one can make occasional mistakes in the thesis.,The bachelor thesis reflects both the content and the methods of the topics covered during a degree programme.
support,But one can make occasional mistakes in the thesis.,"If this carries more weight, many good individual assignments done during the course of study may be obscured."
neither,But one can make occasional mistakes in the thesis.,A good grade for the thesis also significantly depends on the supervision of a dedicated teacher.
neither,But one can make occasional mistakes in the thesis.,Due to the many random factors the bachelor thesis should not play a bigger role.
neither,"If this carries more weight, many good individual assignments done during the course of study may be obscured.",The bachelor thesis reflects both the content and the methods of the topics covered during a degree programme.
neither,"If this carries more weight, many good individual assignments done during the course of study may be obscured.",But one can make occasional mistakes in the thesis.
neither,"If this carries more weight, many good individual assignments done during the course of study may be obscured.",A good grade for the thesis also significantly depends on the supervision of a dedicated teacher.
support,"If this carries more weight, many good individual assignments done during the course of study may be obscured.",Due to the many random factors the bachelor thesis should not play a bigger role.
neither,A good grade for the thesis also significantly depends on the supervision of a dedicated teacher.,The bachelor thesis reflects both the content and the methods of the topics covered during a degree programme.
neither,A good grade for the thesis also significantly depends on the supervision of a dedicated teacher.,But one can make occasional mistakes in the thesis.
neither,A good grade for the thesis also significantly depends on the supervision of a dedicated teacher.,"If this carries more weight, many good individual assignments done during the course of study may be obscured."
support,A good grade for the thesis also significantly depends on the supervision of a dedicated teacher.,Due to the many random factors the bachelor thesis should not play a bigger role.
neither,Due to the many random factors the bachelor thesis should not play a bigger role.,The bachelor thesis reflects both the content and the methods of the topics covered during a degree programme.
neither,Due to the many random factors the bachelor thesis should not play a bigger role.,But one can make occasional mistakes in the thesis.
neither,Due to the many random factors the bachelor thesis should not play a bigger role.,"If this carries more weight, many good individual assignments done during the course of study may be obscured."
neither,Due to the many random factors the bachelor thesis should not play a bigger role.,A good grade for the thesis also significantly depends on the supervision of a dedicated teacher.
