relationType,argSrc,argTrg
neither,Tomorrow I will skydive for the first time in my life.,"Yes, there is a certain risk to life."
neither,Tomorrow I will skydive for the first time in my life.,But I want to experience this incredible moment of freedom that skydivers report time and again.
neither,Tomorrow I will skydive for the first time in my life.,"Besides, Jochen was given a parachute jump the other day as a gift,"
neither,Tomorrow I will skydive for the first time in my life.,and it mustn't be that this wannabe-adventurer has one up on me.
attack,"Yes, there is a certain risk to life.",Tomorrow I will skydive for the first time in my life.
neither,"Yes, there is a certain risk to life.",But I want to experience this incredible moment of freedom that skydivers report time and again.
neither,"Yes, there is a certain risk to life.","Besides, Jochen was given a parachute jump the other day as a gift,"
neither,"Yes, there is a certain risk to life.",and it mustn't be that this wannabe-adventurer has one up on me.
support,But I want to experience this incredible moment of freedom that skydivers report time and again.,Tomorrow I will skydive for the first time in my life.
neither,But I want to experience this incredible moment of freedom that skydivers report time and again.,"Yes, there is a certain risk to life."
neither,But I want to experience this incredible moment of freedom that skydivers report time and again.,"Besides, Jochen was given a parachute jump the other day as a gift,"
neither,But I want to experience this incredible moment of freedom that skydivers report time and again.,and it mustn't be that this wannabe-adventurer has one up on me.
support,"Besides, Jochen was given a parachute jump the other day as a gift,",Tomorrow I will skydive for the first time in my life.
neither,"Besides, Jochen was given a parachute jump the other day as a gift,","Yes, there is a certain risk to life."
neither,"Besides, Jochen was given a parachute jump the other day as a gift,",But I want to experience this incredible moment of freedom that skydivers report time and again.
neither,"Besides, Jochen was given a parachute jump the other day as a gift,",and it mustn't be that this wannabe-adventurer has one up on me.
support,and it mustn't be that this wannabe-adventurer has one up on me.,Tomorrow I will skydive for the first time in my life.
neither,and it mustn't be that this wannabe-adventurer has one up on me.,"Yes, there is a certain risk to life."
neither,and it mustn't be that this wannabe-adventurer has one up on me.,But I want to experience this incredible moment of freedom that skydivers report time and again.
neither,and it mustn't be that this wannabe-adventurer has one up on me.,"Besides, Jochen was given a parachute jump the other day as a gift,"
