relationType,argSrc,argTrg
neither,Our society is in danger of overheating due to 'never clocking off'.,"Even though politicians stress the Christian character of our country,"
neither,Our society is in danger of overheating due to 'never clocking off'.,the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.
neither,Our society is in danger of overheating due to 'never clocking off'.,"But after all, the purpose of having a day off is not just to make time to go to church."
neither,Our society is in danger of overheating due to 'never clocking off'.,Rather it should give people the chance to have a mental break.
support,Our society is in danger of overheating due to 'never clocking off'.,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.
neither,"Even though politicians stress the Christian character of our country,",Our society is in danger of overheating due to 'never clocking off'.
attack,"Even though politicians stress the Christian character of our country,",the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.
neither,"Even though politicians stress the Christian character of our country,","But after all, the purpose of having a day off is not just to make time to go to church."
neither,"Even though politicians stress the Christian character of our country,",Rather it should give people the chance to have a mental break.
neither,"Even though politicians stress the Christian character of our country,",That's why there ought to be one day a week when supermarkets and shopping centres stay closed.
support,the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.,Our society is in danger of overheating due to 'never clocking off'.
neither,the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.,"Even though politicians stress the Christian character of our country,"
neither,the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.,"But after all, the purpose of having a day off is not just to make time to go to church."
neither,the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.,Rather it should give people the chance to have a mental break.
neither,the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.
neither,"But after all, the purpose of having a day off is not just to make time to go to church.",Our society is in danger of overheating due to 'never clocking off'.
neither,"But after all, the purpose of having a day off is not just to make time to go to church.","Even though politicians stress the Christian character of our country,"
neither,"But after all, the purpose of having a day off is not just to make time to go to church.",the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.
neither,"But after all, the purpose of having a day off is not just to make time to go to church.",Rather it should give people the chance to have a mental break.
support,"But after all, the purpose of having a day off is not just to make time to go to church.",That's why there ought to be one day a week when supermarkets and shopping centres stay closed.
neither,Rather it should give people the chance to have a mental break.,Our society is in danger of overheating due to 'never clocking off'.
neither,Rather it should give people the chance to have a mental break.,"Even though politicians stress the Christian character of our country,"
neither,Rather it should give people the chance to have a mental break.,the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.
neither,Rather it should give people the chance to have a mental break.,"But after all, the purpose of having a day off is not just to make time to go to church."
support,Rather it should give people the chance to have a mental break.,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.
neither,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,Our society is in danger of overheating due to 'never clocking off'.
neither,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,"Even though politicians stress the Christian character of our country,"
neither,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.
neither,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,"But after all, the purpose of having a day off is not just to make time to go to church."
neither,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,Rather it should give people the chance to have a mental break.
