,relationType,argSrc,argTrg,Unnamed: 0.1,Unnamed: 0
0,support,"For years there has been a housing shortage in Berlin,","so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea.",,
1,neither,"For years there has been a housing shortage in Berlin,","Since the area belongs to the federal state, or the federation,",,
2,neither,"For years there has been a housing shortage in Berlin,",it could even be used for social housing with affordable rents.,,
3,neither,"For years there has been a housing shortage in Berlin,","Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer.",,
4,neither,"For years there has been a housing shortage in Berlin,","If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction.",,
5,neither,"so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea.","For years there has been a housing shortage in Berlin,",,
6,neither,"so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea.","Since the area belongs to the federal state, or the federation,",,
7,neither,"so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea.",it could even be used for social housing with affordable rents.,,
8,neither,"so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea.","Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer.",,
9,support,"so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea.","If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction.",,
10,neither,"Since the area belongs to the federal state, or the federation,","For years there has been a housing shortage in Berlin,",,
11,neither,"Since the area belongs to the federal state, or the federation,","so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea.",,
12,support,"Since the area belongs to the federal state, or the federation,",it could even be used for social housing with affordable rents.,,
13,neither,"Since the area belongs to the federal state, or the federation,","Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer.",,
14,neither,"Since the area belongs to the federal state, or the federation,","If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction.",,
15,neither,it could even be used for social housing with affordable rents.,"For years there has been a housing shortage in Berlin,",,
16,support,it could even be used for social housing with affordable rents.,"so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea.",,
17,neither,it could even be used for social housing with affordable rents.,"Since the area belongs to the federal state, or the federation,",,
18,neither,it could even be used for social housing with affordable rents.,"Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer.",,
19,neither,it could even be used for social housing with affordable rents.,"If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction.",,
20,neither,"Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer.","For years there has been a housing shortage in Berlin,",,
21,attack,"Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer.","so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea.",,
22,neither,"Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer.","Since the area belongs to the federal state, or the federation,",,
23,neither,"Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer.",it could even be used for social housing with affordable rents.,,
24,neither,"Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer.","If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction.",,
25,neither,"If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction.","For years there has been a housing shortage in Berlin,",,
26,neither,"If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction.","so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea.",,
27,neither,"If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction.","Since the area belongs to the federal state, or the federation,",,
28,neither,"If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction.",it could even be used for social housing with affordable rents.,,
29,neither,"If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction.","Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer.",,
30,neither,The death penalty should be abandoned everywhere.,From a Christian and humanistic perspective it is not allowed to kill someone.,,
31,neither,The death penalty should be abandoned everywhere.,Proponents of the death penalty count on its deterring effect as well as the ultimate elimination of any potential threat.,,
32,neither,The death penalty should be abandoned everywhere.,However also the threat of the death penalty in the respective countries apparently cannot prevent murder and violent crime.,,
33,neither,The death penalty should be abandoned everywhere.,Moreover it turns out time and again that innocent people are also convicted and executed.,,
34,support,From a Christian and humanistic perspective it is not allowed to kill someone.,The death penalty should be abandoned everywhere.,,
35,neither,From a Christian and humanistic perspective it is not allowed to kill someone.,Proponents of the death penalty count on its deterring effect as well as the ultimate elimination of any potential threat.,,
