relationType,argSrc,argTrg
neither,Intelligence services must urgently be regulated more tightly by parliament;,this should be clear to everyone after the disclosures of Edward Snowden.
neither,Intelligence services must urgently be regulated more tightly by parliament;,"Granted, those concern primarily the British and American intelligence services,"
neither,Intelligence services must urgently be regulated more tightly by parliament;,but the German services evidently do collaborate with them closely.
neither,Intelligence services must urgently be regulated more tightly by parliament;,"Their tools, data and expertise have been used to keep us under surveillance for a long time."
support,this should be clear to everyone after the disclosures of Edward Snowden.,Intelligence services must urgently be regulated more tightly by parliament;
neither,this should be clear to everyone after the disclosures of Edward Snowden.,"Granted, those concern primarily the British and American intelligence services,"
neither,this should be clear to everyone after the disclosures of Edward Snowden.,but the German services evidently do collaborate with them closely.
neither,this should be clear to everyone after the disclosures of Edward Snowden.,"Their tools, data and expertise have been used to keep us under surveillance for a long time."
neither,"Granted, those concern primarily the British and American intelligence services,",Intelligence services must urgently be regulated more tightly by parliament;
attack,"Granted, those concern primarily the British and American intelligence services,",this should be clear to everyone after the disclosures of Edward Snowden.
neither,"Granted, those concern primarily the British and American intelligence services,",but the German services evidently do collaborate with them closely.
neither,"Granted, those concern primarily the British and American intelligence services,","Their tools, data and expertise have been used to keep us under surveillance for a long time."
neither,but the German services evidently do collaborate with them closely.,Intelligence services must urgently be regulated more tightly by parliament;
neither,but the German services evidently do collaborate with them closely.,this should be clear to everyone after the disclosures of Edward Snowden.
attack,but the German services evidently do collaborate with them closely.,"Granted, those concern primarily the British and American intelligence services,"
neither,but the German services evidently do collaborate with them closely.,"Their tools, data and expertise have been used to keep us under surveillance for a long time."
neither,"Their tools, data and expertise have been used to keep us under surveillance for a long time.",Intelligence services must urgently be regulated more tightly by parliament;
neither,"Their tools, data and expertise have been used to keep us under surveillance for a long time.",this should be clear to everyone after the disclosures of Edward Snowden.
neither,"Their tools, data and expertise have been used to keep us under surveillance for a long time.","Granted, those concern primarily the British and American intelligence services,"
support,"Their tools, data and expertise have been used to keep us under surveillance for a long time.",but the German services evidently do collaborate with them closely.
