relationType,argSrc,argTrg
neither,Actually it would be justified if all German universities charged tuition fees.,"As long as it is ensured that the funds really benefit the universities directly, one can continue to regard this as social justice."
neither,Actually it would be justified if all German universities charged tuition fees.,"Those who study later decide this early on, anyway."
neither,Actually it would be justified if all German universities charged tuition fees.,It's always possible to take out a student loan or to earn a scholarship.
neither,Actually it would be justified if all German universities charged tuition fees.,"To oblige non-academics to finance others' degrees through taxes, however, is not just."
support,"As long as it is ensured that the funds really benefit the universities directly, one can continue to regard this as social justice.",Actually it would be justified if all German universities charged tuition fees.
neither,"As long as it is ensured that the funds really benefit the universities directly, one can continue to regard this as social justice.","Those who study later decide this early on, anyway."
neither,"As long as it is ensured that the funds really benefit the universities directly, one can continue to regard this as social justice.",It's always possible to take out a student loan or to earn a scholarship.
neither,"As long as it is ensured that the funds really benefit the universities directly, one can continue to regard this as social justice.","To oblige non-academics to finance others' degrees through taxes, however, is not just."
support,"Those who study later decide this early on, anyway.",Actually it would be justified if all German universities charged tuition fees.
neither,"Those who study later decide this early on, anyway.","As long as it is ensured that the funds really benefit the universities directly, one can continue to regard this as social justice."
neither,"Those who study later decide this early on, anyway.",It's always possible to take out a student loan or to earn a scholarship.
neither,"Those who study later decide this early on, anyway.","To oblige non-academics to finance others' degrees through taxes, however, is not just."
support,It's always possible to take out a student loan or to earn a scholarship.,Actually it would be justified if all German universities charged tuition fees.
neither,It's always possible to take out a student loan or to earn a scholarship.,"As long as it is ensured that the funds really benefit the universities directly, one can continue to regard this as social justice."
neither,It's always possible to take out a student loan or to earn a scholarship.,"Those who study later decide this early on, anyway."
neither,It's always possible to take out a student loan or to earn a scholarship.,"To oblige non-academics to finance others' degrees through taxes, however, is not just."
support,"To oblige non-academics to finance others' degrees through taxes, however, is not just.",Actually it would be justified if all German universities charged tuition fees.
neither,"To oblige non-academics to finance others' degrees through taxes, however, is not just.","As long as it is ensured that the funds really benefit the universities directly, one can continue to regard this as social justice."
neither,"To oblige non-academics to finance others' degrees through taxes, however, is not just.","Those who study later decide this early on, anyway."
neither,"To oblige non-academics to finance others' degrees through taxes, however, is not just.",It's always possible to take out a student loan or to earn a scholarship.
