,kialoUrlId,tags
0,are-purity-pledges-harmful-29355,"['Purity', 'Sex', 'Virginity', 'Feminism', 'Women']"
1,should-american-football-be-banned-10143,"['Sports', 'USA', 'Football', 'American_Football', 'Entertainment']"
2,should-there-be-one-world-state-30339,"['States', 'Nations', 'Culture', 'Economics', 'Politics']"
3,do-fair-trade-products-cause-more-good-than-harm-31027,"['Trade', 'Development', 'International', 'Ethics']"
4,should-failing-banks-receive-bailouts-from-the-government-64072,"['Economy', 'Finance', 'States', 'Government', 'Banks', 'Bailouts']"
5,should-governments-ever-limit-free-speech-22454,"['FreeSpeech', 'Democracy', 'USA', 'HumanRights']"
6,is-the-scientific-process-objective-17768,"['Science', 'Philosophy', 'Sts']"
7,time-for-a-maximum-wage-should-the-us-limit-ceo-pay-2141,"['USA', 'Capitalism', 'SocialJustice', 'Salary', 'Pay', 'America']"
8,should-quotas-for-women-on-boards-and-in-managerial-positions-be-mandatory-9821,"['Women', 'Business', 'Gender', 'Politics']"
9,should-election-campaigns-only-be-funded-by-the-government-26876,"['Politics', 'Elections', 'Money', 'Finance', 'Government']"
10,should-people-marry-outside-their-religious-faith-30171,"['Marriage', 'Religion', 'Diversity', 'Society']"
11,what-are-the-benefits-/-harms-of-critical-race-theory-40007,"['Critical', 'Race', 'Racism', 'Theory', 'SocialJustice', 'Society']"
12,should-fake-news-be-illegal-35818,"['Fake', 'News', 'Illegal']"
13,should-high-income-countries-take-in-refugees-2214,"['Refugees', 'Ethics', 'Politics', 'Immigration', 'Migrants']"
14,should-everyone's-wealth-and-income-information-be-publicly-available-18009,"['Government', 'Ethics', 'Equality', 'Economics', 'Money']"
15,should-teachers-be-allowed-to-wear-religious-symbols-at-school-12626,"['Ethics', 'Religion', 'Education', 'School', 'Politics']"
16,should-begging-for-money-be-illegal-16454,"['Politics', 'Law', 'Poverty', 'Economics']"
17,compulsory-voting:-should-voting-be-mandatory-1692,"['Democracy', 'Elections', 'Society', 'Politics', 'Voting']"
18,should-the-eu-have-its-own-army-27791,"['Politics', 'Military', 'Europe', 'EU', 'Thistimeimvoting']"
19,is-school-bad-for-your-mental-health-4193,"['School', 'Health', 'Education']"
20,should-us-internet-platforms-be-able-to-remove-or-demote-speech-by-elected-public-figures-39863,"['Censorship', 'Society', 'Culture', 'Public', 'Democracy']"
21,is-global-overpopulation-a-myth-9226,"['Society', 'Humans', 'Earth', 'Environment', 'ClimateChange']"
22,should-muslim-countries-continue-to-boycott-french-products-49900,"['Islam', 'Muslim', 'France']"
23,should-refugees-seeking-asylum-in-europe-be-distributed-among-eu-member-states-according-to-a-quota-27820,"['Europe', 'Politics', 'Society', 'Thistimeimvoting']"
24,is-capital-punishment-in-the-united-states-justified-801,"['Politics', 'USA', 'Justice', 'Law', 'Ethics', 'America']"
25,do-imf-programs-cause-economic-damage-to-the-countries-they're-lending-to-62695,"['IMF', 'Economics', 'Finance', 'Loans']"
26,should-surveillance-balloons-be-banned-62103,"['China', 'Spy', 'USA', 'Surveillance', 'Drones']"
27,is-'young-adult'-literature-unfairly-maligned-53585,"['Literature', 'Culture', 'Writing', 'YoungAdult']"
28,should-plastic-water-bottles-have-a-five-cent-deposit-on-every-bottle-15599,"['Economics', 'Environment', 'ClimateChange']"
29,should-us-presidents-have-the-power-to-issue-pardons-2868,"['USA', 'Politics', 'Law', 'Trump', 'Justice', 'America']"
30,should-the-bible-be-considered-a-historical-document-30051,"['Religion', 'God', 'Bible', 'Faith', 'Christianity']"
31,should-hbo-reboot-harry-potter-63565,"['Media', 'Television', 'HBO', 'HarryPotter', 'Movies']"
32,should-catholic-priests-be-allowed-to-marry-32518,"['God', 'Religion', 'Catholicism', 'Pope']"
33,should-ukraine-become-a-member-of-nato-57399,"['NATO', 'Ukraine', 'Europe', 'America', 'Politics']"
34,was-there-widespread-fraud-in-the-2020-us-election-42652,"['Politics', 'Democracy', 'Government', 'USA']"
35,should-travel-bans-be-instituted-to-tackle-pandemics-33363,"['Influenza', 'Travel', 'Ban', 'Health', 'Disease']"
36,was-the-eu-response-to-the-humanitarian-situation-following-the-earthquake-in-turkey-and-syria-sufficient-61833,"['EU', 'Aid', 'Earthquake', 'Humanitarian', 'Syria', 'Turkey']"
37,should-heterosexual-people-not-be-allowed-in-gay-bars-16201,"['LGBTQ', 'Women', 'Gender', 'Transgender', 'Equality']"
38,should-hate-speech-be-legally-protected-10134,"['Politics', 'FreeSpeech', 'Equality', 'Law', 'HumanRights']"
39,should-planned-parenthood-be-defunded-16915,"['Abortion', 'Politics', 'USA', 'America']"
40,what-is-the-best-drug-regulation-system-2027,"['Drugs', 'Law', 'Policy', 'Politics', 'Regulation']"
41,is-feminism-a-force-for-good-6492,"['Feminism', 'Politics', 'Philosophy', 'Society', 'Women']"
42,gender-neutral-bathrooms:-should-they-be-standard-1266,"['Gender', 'Feminism', 'Transgender', 'Sex', 'Equality']"
43,should-the-us-sell-weapons-with-nuclear-capabilities-to-ukraine-63558,"['Politics', 'Military', 'War', 'Ukraine', 'Nuclear']"
44,what's-the-best-twitter/x-alternative-61048,"['SocialMedia', 'Twitter', 'Facebook', 'Alternative', 'Instagram', 'Tiktok']"
